,Region,Make,Model,Displ,Cyl,Trans,Drive,Fuel,VehClass,CityMPG,HwyMPG,CmbMPG,GreenhouseGasScore
417,American,TESLA,Model S 75D,,,Auto-1,4WD,Electricity,large car,102,105,103,10
419,American,TESLA,Model S 75kWh,,,Auto-1,2WD,Electricity,large car,97,100,98,10
421,American,TESLA,Model S 90D,,,Auto-1,4WD,Electricity,large car,102,107,104,10
423,American,TESLA,Model S P100D,,,Auto-1,4WD,Electricity,large car,92,105,98,10
425,American,TESLA,Model S P90D,,,Auto-1,4WD,Electricity,large car,92,100,95,10
427,American,TESLA,Model X 60D,,,Auto-1,4WD,Electricity,standard SUV,91,94,93,10
429,American,TESLA,Model X 75D,,,Auto-1,4WD,Electricity,standard SUV,91,95,93,10
431,American,TESLA,Model X 90D,,,Auto-1,4WD,Electricity,standard SUV,90,94,92,10
433,American,TESLA,Model X P100D,,,Auto-1,4WD,Electricity,standard SUV,81,92,86,10
435,American,TESLA,Model X P90D,,,Auto-1,4WD,Electricity,standard SUV,89,90,89,10
437,Asian,TOYOTA,Avalon Hybrid,2.5,4,SCV-6,2WD,Gasoline,midsize car,40,39,40,9
439,Asian,TOYOTA,Camry Hybrid LE,2.5,4,CVT,2WD,Gasoline,midsize car,42,38,40,9
441,Asian,TOYOTA,Camry Hybrid XLE/SE,2.5,4,CVT,2WD,Gasoline,midsize car,40,37,38,9
443,Asian,TOYOTA,Corolla,1.8,4,CVT,2WD,Gasoline,midsize car,28,36,32,7
445,Asian,TOYOTA,Corolla,1.8,4,Man-6,2WD,Gasoline,midsize car,27,35,30,7
447,Asian,TOYOTA,Corolla,1.8,4,SCV-7,2WD,Gasoline,midsize car,28,35,31,7
449,Asian,TOYOTA,Corolla LE Eco,1.8,4,CVT,2WD,Gasoline,midsize car,29,38,33,8
450,Asian,TOYOTA,Corolla LE Eco,1.8,4,CVT,2WD,Gasoline,midsize car,30,40,34,8
453,Asian,TOYOTA,Corolla iM,1.8,4,Man-6,2WD,Gasoline,midsize car,27,35,30,7
455,Asian,TOYOTA,Corolla iM,1.8,4,SCV-7,2WD,Gasoline,midsize car,28,36,31,7
457,Asian,TOYOTA,Highlander Hybrid LE Plus,3.5,6,SCV-6,4WD,Gasoline,standard SUV,30,28,29,7
459,Asian,TOYOTA,Mirai,,,CVT,2WD,Hydrogen,small car,67,67,67,10
461,Asian,TOYOTA,Prius,1.8,4,CVT,2WD,Gasoline,midsize car,54,50,52,10
465,Asian,TOYOTA,Prius Eco,1.8,4,CVT,2WD,Gasoline,midsize car,58,53,56,10
467,Asian,TOYOTA,Prius Prime,1.8,4,CVT,2WD,Gasoline/Electricity,midsize car,55/145,53/121,54/133,10
469,Asian,TOYOTA,Prius c,1.5,4,CVT,2WD,Gasoline,small car,48,43,46,10
471,Asian,TOYOTA,Prius v,1.8,4,CVT,2WD,Gasoline,station wagon,43,39,41,9
473,Asian,TOYOTA,RAV4 Hybrid,2.5,4,SCV-6,4WD,Gasoline,small SUV,34,30,32,7
475,Asian,TOYOTA,Yaris,1.5,4,Auto-4,2WD,Gasoline,small car,30,35,32,7
477,Asian,TOYOTA,Yaris,1.5,4,Man-5,2WD,Gasoline,small car,30,36,33,8
479,Asian,TOYOTA,Yaris iA,1.5,4,Man-6,2WD,Gasoline,small car,30,39,34,8
481,Asian,TOYOTA,Yaris iA,1.5,4,SemiAuto-6,2WD,Gasoline,small car,32,40,35,8
483,European,VOLKSWAGEN,Golf,1.8,4,Man-5,2WD,Gasoline,small car,25,36,29,7
485,European,VOLKSWAGEN,Golf,1.8,4,SemiAuto-6,2WD,Gasoline,small car,25,35,29,7
487,European,VOLKSWAGEN,Golf SportWagen,1.8,4,SemiAuto-6,2WD,Gasoline,station wagon,25,34,29,7
489,European,VOLKSWAGEN,Jetta,1.4,4,Man-5,2WD,Gasoline,small car,28,40,33,8
491,European,VOLKSWAGEN,Jetta,1.4,4,SemiAuto-6,2WD,Gasoline,small car,28,38,32,7
493,European,VOLKSWAGEN,Jetta,1.8,4,SemiAuto-6,2WD,Gasoline,small car,25,35,29,7
495,European,VOLKSWAGEN,e-Golf,,,Auto-1,2WD,Electricity,small car,126,111,119,10
496,European,VOLVO,S60,2,4,SemiAuto-8,2WD,Gasoline,small car,25,36,29,7
498,European,VOLVO,S60 Inscription,2,4,SemiAuto-8,2WD,Gasoline,small car,25,36,29,7
500,European,VOLVO,V60,2,4,SemiAuto-8,2WD,Gasoline,station wagon,25,36,29,7
502,European,VOLVO,XC 90,2,4,SemiAuto-8,4WD,Gasoline/Electricity,standard SUV,24/53,27/55,25/54,8
