,Region,Make,Model,Displ,Cyl,Trans,Drive,Fuel,VehClass,CityMPG,HwyMPG,CmbMPG,GreenhouseGasScore
0,Asian,Acura,ILX,2.4,4.0,AMS-8,2WD,Gasoline,small car,25.0,35.0,29.0,7
2,Asian,Acura,RLX,3.5,6.0,AMS-7,4WD,Gasoline,midsize car,29.0,30.0,29.0,7
4,European,Audi,A3,2.0,4.0,AMS-7,2WD,Gasoline,small car,26.0,35.0,29.0,7
6,European,Audi,A3 e-tron,1.4,4.0,AMS-6,2WD,Gasoline/Electricity,small car,33.0,36.0,34.0,10
8,European,Audi,A4 Ultra,2.0,4.0,AMS-7,2WD,Gasoline,small car,27.0,37.0,31.0,7
10,European,Bmw,328d,2.0,4.0,SemiAuto-8,2WD,Diesel,small car,31.0,43.0,36.0,7
12,European,Bmw,328d,2.0,4.0,SemiAuto-8,4WD,Diesel,small car,30.0,40.0,34.0,7
14,European,Bmw,328d Sports Wagon,2.0,4.0,SemiAuto-8,4WD,Diesel,station wagon,30.0,40.0,34.0,7
16,European,Bmw,330e,2.0,4.0,SemiAuto-8,2WD,Gasoline/Electricity,small car,28.0,34.0,30.0,10
18,European,Bmw,740e,2.0,4.0,SemiAuto-8,4WD,Gasoline/Electricity,large car,25.0,29.0,27.0,9
20,European,Bmw,X5 xDrive40e,2.0,4.0,SemiAuto-8,4WD,Gasoline/Electricity,standard SUV,23.0,25.0,24.0,8
26,European,Bmw,i3 REx,0.6,2.0,Auto-1,2WD,Gasoline/Electricity,small car,36.0,33.0,35.0,10
28,European,Bmw,i8,1.5,3.0,Auto-6,4WD,Gasoline/Electricity,small car,28.0,29.0,28.0,10
30,American,Buick,Encore,1.4,4.0,SemiAuto-6,2WD,Gasoline,small SUV,27.0,33.0,30.0,7
33,American,Cadillac,CT6 Hybrid,2.0,4.0,CVT,2WD,Gasoline/Electricity,midsize car,23.0,29.0,26.0,10
37,American,Chevrolet,Cruze,1.4,4.0,Man-6,2WD,Gasoline,small car,28.0,39.0,32.0,7
39,American,Chevrolet,Cruze,1.4,4.0,SemiAuto-6,2WD,Gasoline,small car,30.0,40.0,34.0,8
41,American,Chevrolet,Cruze,1.6,4.0,Auto-9,2WD,Diesel,small car,31.0,47.0,37.0,7
43,American,Chevrolet,Cruze,1.6,4.0,Man-6,2WD,Diesel,small car,30.0,52.0,37.0,8
45,American,Chevrolet,Cruze Hatchback,1.4,4.0,Man-6,2WD,Gasoline,midsize car,28.0,37.0,31.0,7
47,American,Chevrolet,Cruze Hatchback,1.4,4.0,SemiAuto-6,2WD,Gasoline,midsize car,29.0,38.0,32.0,7
49,American,Chevrolet,Cruze Premier,1.4,4.0,SemiAuto-6,2WD,Gasoline,small car,29.0,39.0,33.0,8
51,American,Chevrolet,Cruze Premier Hatchback,1.4,4.0,SemiAuto-6,2WD,Gasoline,midsize car,28.0,37.0,31.0,7
53,American,Chevrolet,Malibu,1.5,4.0,Auto-6,2WD,Gasoline,midsize car,27.0,36.0,30.0,7
55,American,Chevrolet,Malibu,1.8,4.0,CVT,2WD,Gasoline,midsize car,49.0,43.0,46.0,10
57,American,Chevrolet,Sonic,1.4,4.0,Man-6,2WD,Gasoline,small car,28.0,38.0,32.0,7
59,American,Chevrolet,Sonic,1.4,4.0,SemiAuto-6,2WD,Gasoline,small car,27.0,36.0,30.0,7
