,Region,Make,Model,Displ,Cyl,Trans,Drive,Fuel,VehClass,CityMPG,HwyMPG,CmbMPG,Greenhouse Gas Score
66,American,CHEVROLET,Spark,1.4,4,CVT,2WD,Gasoline,small car,30,38,33,8
67,American,CHEVROLET,Spark,1.4,4,Man-5,2WD,Gasoline,small car,29,39,33,8
68,American,CHEVROLET,Spark,1.4,4,Man-5,2WD,Gasoline,small car,29,39,33,8
69,American,CHEVROLET,Spark Activ,1.4,4,CVT,2WD,Gasoline,small car,30,37,33,8
70,American,CHEVROLET,Spark Activ,1.4,4,CVT,2WD,Gasoline,small car,30,37,33,8
71,American,CHEVROLET,Spark Activ,1.4,4,Man-5,2WD,Gasoline,small car,29,38,32,7
72,American,CHEVROLET,Spark Activ,1.4,4,Man-5,2WD,Gasoline,small car,29,38,32,7
73,American,CHEVROLET,Volt,1.5,4,CVT,2WD,Gasoline/Electricity,small car,43/113,42/99,42/106,10
74,American,CHEVROLET,Volt,1.5,4,CVT,2WD,Gasoline/Electricity,small car,43/113,42/99,42/106,10
75,American,CHEVROLET,Volt,1.5,4,CVT,2WD,Gasoline/Electricity,small car,43/113,42/99,42/106,10
76,American,CHEVROLET,Volt,1.5,4,CVT,2WD,Gasoline/Electricity,small car,43/113,42/99,42/106,10
77,,CHRYSLER,Pacifica Hybrid,3.6,6,CVT,2WD,Gasoline/Electricity,minivan,32/89,33/78,32/84,10
78,,CHRYSLER,Pacifica Hybrid,3.6,6,CVT,2WD,Gasoline/Electricity,minivan,32/89,33/78,32/84,10
79,European,FIAT,124 Spider,1.4,4,Man-6,2WD,Gasoline,small car,26,35,30,7
80,European,FIAT,124 Spider,1.4,4,Man-6,2WD,Gasoline,small car,26,35,30,7
81,European,FIAT,500,1.4,4,Man-5,2WD,Gasoline,small car,28,33,30,7
82,European,FIAT,500,1.4,4,Man-5,2WD,Gasoline,small car,28,33,30,7
83,European,FIAT,500 Abarth,1.4,4,Man-5,2WD,Gasoline,small car,28,33,30,7
84,European,FIAT,500 Abarth,1.4,4,Man-5,2WD,Gasoline,small car,28,33,30,7
85,European,FIAT,500e,,,Auto-1,2WD,Electricity,small car,121,103,112,10
86,European,FIAT,500e,,,Auto-1,2WD,Electricity,small car,121,103,112,10
87,American,FORD,C-MAX Hybrid,2,4,CVT,2WD,Gasoline,large car,42,38,40,9
88,American,FORD,C-MAX Hybrid,2,4,CVT,2WD,Gasoline,large car,42,38,40,9
89,American,FORD,Fiesta,1.6,4,AMS-6,2WD,Gasoline,small car,27,37,31,7
90,American,FORD,Fiesta,1.6,4,AMS-6,2WD,Gasoline,small car,27,37,31,7
91,American,FORD,Fiesta,1.6,4,Man-5,2WD,Gasoline,small car,27,35,30,7
92,American,FORD,Fiesta,1.6,4,Man-5,2WD,Gasoline,small car,27,35,30,7
93,American,FORD,Focus,1,3,Man-6,2WD,Gasoline,small car,30,40,34,8
94,American,FORD,Focus,1,3,Man-6,2WD,Gasoline,small car,30,40,34,8
95,American,FORD,Focus,1,3,SemiAuto-6,2WD,Gasoline,small car,27,38,31,7
96,American,FORD,Focus,1,3,SemiAuto-6,2WD,Gasoline,small car,27,38,31,7
97,American,FORD,Focus,2,4,AutoMan-6,2WD,Gasoline,small car,26,38,31,7
98,American,FORD,Focus,2,4,AutoMan-6,2WD,Gasoline,small car,26,38,31,7
99,American,FORD,Focus Electric,,,Auto-1,2WD,Electricity,small car,118,96,107,10
100,American,FORD,Focus Electric,,,Auto-1,2WD,Electricity,small car,118,96,107,10
101,American,FORD,Fusion Energi Plug-in Hybrid,2,4,CVT,2WD,Gasoline/Electricity,midsize car,43/102,41/91,42/97,10
102,American,FORD,Fusion Energi Plug-in Hybrid,2,4,CVT,2WD,Gasoline/Electricity,midsize car,43/102,41/91,42/97,10
103,American,FORD,Fusion Hybrid,2,4,CVT,2WD,Gasoline,midsize car,43,41,42,9
104,American,FORD,Fusion Hybrid,2,4,CVT,2WD,Gasoline,midsize car,43,41,42,9
105,Asian,HONDA,Accord,1.5,4,CVT,2WD,Gasoline,large car,30,38,33,8
106,Asian,HONDA,Accord,1.5,4,CVT,2WD,Gasoline,large car,30,38,33,8
107,Asian,HONDA,Accord,1.5,4,Man-6,2WD,Gasoline,large car,26,35,30,7
108,Asian,HONDA,Accord,1.5,4,Man-6,2WD,Gasoline,large car,26,35,30,7
109,Asian,HONDA,Accord,1.5,4,SCV-7,2WD,Gasoline,large car,29,35,31,7
110,Asian,HONDA,Accord,1.5,4,SCV-7,2WD,Gasoline,large car,29,35,31,7
111,Asian,HONDA,Accord,2,4,CVT,2WD,Gasoline,large car,47,47,47,10
112,Asian,HONDA,Accord,2,4,CVT,2WD,Gasoline,large car,47,47,47,10
113,Asian,HONDA,CR-V,1.5,4,CVT,2WD,Gasoline,small SUV,28,34,30,7
114,Asian,HONDA,CR-V,1.5,4,CVT,2WD,Gasoline,small SUV,28,34,30,7
115,Asian,HONDA,Civic 2Dr,1.5,4,CVT,2WD,Gasoline,small car,31,40,35,8
116,Asian,HONDA,Civic 2Dr,1.5,4,CVT,2WD,Gasoline,small car,31,40,35,8
117,Asian,HONDA,Civic 2Dr,1.5,4,CVT,2WD,Gasoline,small car,31,40,35,8
118,Asian,HONDA,Civic 2Dr,1.5,4,CVT,2WD,Gasoline,small car,31,40,35,8
119,Asian,HONDA,Civic 2Dr,1.5,4,Man-6,2WD,Gasoline,small car,30,41,35,8
120,Asian,HONDA,Civic 2Dr,1.5,4,Man-6,2WD,Gasoline,small car,30,41,35,8
121,Asian,HONDA,Civic 2Dr,1.5,4,Man-6,2WD,Gasoline,small car,28,38,32,7
122,Asian,HONDA,Civic 2Dr,1.5,4,Man-6,2WD,Gasoline,small car,28,38,32,7
123,Asian,HONDA,Civic 2Dr,2,4,CVT,2WD,Gasoline,small car,30,39,34,8
124,Asian,HONDA,Civic 2Dr,2,4,CVT,2WD,Gasoline,small car,30,39,34,8
125,Asian,HONDA,Civic 2Dr,2,4,CVT,2WD,Gasoline,small car,30,39,34,8
126,Asian,HONDA,Civic 2Dr,2,4,CVT,2WD,Gasoline,small car,30,39,34,8
127,Asian,HONDA,Civic 2Dr,2,4,Man-6,2WD,Gasoline,small car,28,39,32,7
128,Asian,HONDA,Civic 2Dr,2,4,Man-6,2WD,Gasoline,small car,28,39,32,7
129,Asian,HONDA,Civic 4Dr,1.5,4,CVT,2WD,Gasoline,midsize car,32,42,36,8
130,Asian,HONDA,Civic 4Dr,1.5,4,CVT,2WD,Gasoline,midsize car,32,42,36,8
131,Asian,HONDA,Civic 4Dr,1.5,4,CVT,2WD,Gasoline,midsize car,32,42,36,8
132,Asian,HONDA,Civic 4Dr,1.5,4,CVT,2WD,Gasoline,midsize car,32,42,36,8
133,Asian,HONDA,Civic 4Dr,1.5,4,Man-6,2WD,Gasoline,midsize car,31,42,35,8
134,Asian,HONDA,Civic 4Dr,1.5,4,Man-6,2WD,Gasoline,midsize car,31,42,35,8
135,Asian,HONDA,Civic 4Dr,1.5,4,Man-6,2WD,Gasoline,midsize car,28,38,32,7
136,Asian,HONDA,Civic 4Dr,1.5,4,Man-6,2WD,Gasoline,midsize car,28,38,32,7
137,Asian,HONDA,Civic 4Dr,2,4,CVT,2WD,Gasoline,midsize car,31,40,34,8
138,Asian,HONDA,Civic 4Dr,2,4,CVT,2WD,Gasoline,midsize car,31,40,34,8
139,Asian,HONDA,Civic 4Dr,2,4,CVT,2WD,Gasoline,midsize car,31,40,34,8
140,Asian,HONDA,Civic 4Dr,2,4,CVT,2WD,Gasoline,midsize car,31,40,34,8
141,Asian,HONDA,Civic 4Dr,2,4,Man-6,2WD,Gasoline,midsize car,28,40,32,7
142,Asian,HONDA,Civic 4Dr,2,4,Man-6,2WD,Gasoline,midsize car,28,40,32,7
143,Asian,HONDA,Civic 5Dr,1.5,4,CVT,2WD,Gasoline,large car,31,40,34,8
144,Asian,HONDA,Civic 5Dr,1.5,4,CVT,2WD,Gasoline,large car,31,40,34,8
145,Asian,HONDA,Civic 5Dr,1.5,4,CVT,2WD,Gasoline,large car,31,40,34,8
146,Asian,HONDA,Civic 5Dr,1.5,4,CVT,2WD,Gasoline,large car,31,40,34,8
147,Asian,HONDA,Civic 5Dr,1.5,4,Man-6,2WD,Gasoline,large car,29,38,33,8
148,Asian,HONDA,Civic 5Dr,1.5,4,Man-6,2WD,Gasoline,large car,29,38,33,8
149,Asian,HONDA,Civic 5Dr,1.5,4,SCV-7,2WD,Gasoline,large car,30,36,32,7
150,Asian,HONDA,Civic 5Dr,1.5,4,SCV-7,2WD,Gasoline,large car,30,36,32,7
151,Asian,HONDA,Civic 5Dr,1.5,4,SCV-7,2WD,Gasoline,large car,30,36,32,7
152,Asian,HONDA,Civic 5Dr,1.5,4,SCV-7,2WD,Gasoline,large car,30,36,32,7
153,Asian,HONDA,Clarity,1.5,4,CVT,2WD,Gasoline/Electricity,midsize car,44/117,40/102,42/110,10
154,Asian,HONDA,Clarity,1.5,4,CVT,2WD,Gasoline/Electricity,midsize car,44/117,40/102,42/110,10
155,Asian,HONDA,Clarity,,,Auto-1,2WD,Electricity,midsize car,126,103,114,10
156,Asian,HONDA,Clarity,,,Auto-1,2WD,Electricity,midsize car,126,103,114,10
157,Asian,HONDA,Clarity,,,Auto-1,2WD,Hydrogen,midsize car,69,67,68,10
158,Asian,HONDA,Clarity,,,Auto-1,2WD,Hydrogen,midsize car,69,67,68,10
159,Asian,HONDA,Fit,1.5,4,CVT,2WD,Gasoline,station wagon,33,40,36,8
160,Asian,HONDA,Fit,1.5,4,CVT,2WD,Gasoline,station wagon,33,40,36,8
161,Asian,HONDA,Fit,1.5,4,Man-6,2WD,Gasoline,station wagon,29,36,31,7
162,Asian,HONDA,Fit,1.5,4,Man-6,2WD,Gasoline,station wagon,29,36,31,7
163,Asian,HONDA,Fit,1.5,4,Man-6,2WD,Gasoline,station wagon,29,36,31,7
164,Asian,HONDA,Fit,1.5,4,SCV-7,2WD,Gasoline,station wagon,31,36,33,8
165,Asian,HONDA,Fit,1.5,4,SCV-7,2WD,Gasoline,station wagon,31,36,33,8
166,Asian,HONDA,HR-V,1.8,4,CVT,2WD,Gasoline,station wagon,28,34,31,7
167,Asian,HONDA,HR-V,1.8,4,CVT,2WD,Gasoline,station wagon,28,34,31,7
168,Asian,HONDA,HR-V,1.8,4,SCV-7,2WD,Gasoline,station wagon,28,34,31,7
169,Asian,HONDA,HR-V,1.8,4,SCV-7,2WD,Gasoline,station wagon,28,34,31,7
170,Asian,HYUNDAI,Accent,1.6,4,Man-6,2WD,Gasoline,small car,28,37,31,7
171,Asian,HYUNDAI,Accent,1.6,4,Man-6,2WD,Gasoline,small car,28,37,31,7
172,Asian,HYUNDAI,Accent,1.6,4,SemiAuto-6,2WD,Gasoline,small car,28,38,32,7
173,Asian,HYUNDAI,Accent,1.6,4,SemiAuto-6,2WD,Gasoline,small car,28,38,32,7
174,Asian,HYUNDAI,Elantra,1.4,4,AutoMan-7,2WD,Gasoline,midsize car,32,40,35,8
175,Asian,HYUNDAI,Elantra,1.4,4,AutoMan-7,2WD,Gasoline,midsize car,32,40,35,8
176,Asian,HYUNDAI,Elantra,2,4,SemiAuto-6,2WD,Gasoline,midsize car,28,37,32,7
177,Asian,HYUNDAI,Elantra,2,4,SemiAuto-6,2WD,Gasoline,midsize car,28,37,32,7
178,Asian,HYUNDAI,Elantra,2,4,SemiAuto-6,2WD,Gasoline,midsize car,28,37,32,7
179,Asian,HYUNDAI,Elantra,2,4,SemiAuto-6,2WD,Gasoline,midsize car,28,37,32,7
180,Asian,HYUNDAI,Elantra SE,2,4,SemiAuto-6,2WD,Gasoline,midsize car,29,38,33,8
181,Asian,HYUNDAI,Elantra SE,2,4,SemiAuto-6,2WD,Gasoline,midsize car,29,38,33,8
182,Asian,HYUNDAI,Elantra SE,2,4,SemiAuto-6,2WD,Gasoline,midsize car,29,38,33,8
183,Asian,HYUNDAI,Elantra SE,2,4,SemiAuto-6,2WD,Gasoline,midsize car,29,38,33,8
184,Asian,HYUNDAI,Ioniq,1.6,4,AutoMan-6,2WD,Gasoline,large car,55,54,55,10
185,Asian,HYUNDAI,Ioniq,1.6,4,AutoMan-6,2WD,Gasoline,large car,55,54,55,10
186,Asian,HYUNDAI,Ioniq Blue,1.6,4,AutoMan-6,2WD,Gasoline,large car,57,59,58,10
187,Asian,HYUNDAI,Ioniq Blue,1.6,4,AutoMan-6,2WD,Gasoline,large car,57,59,58,10
188,Asian,HYUNDAI,Ioniq Electric,,,Auto-1,2WD,Electricity,midsize car,150,122,136,10
189,Asian,HYUNDAI,Ioniq Electric,,,Auto-1,2WD,Electricity,midsize car,150,122,136,10
190,Asian,HYUNDAI,Ioniq Plug-in Hybrid,1.6,4,AutoMan-6,2WD,Gasoline/Electricity,midsize car,53/123,52/114,52/119,10
191,Asian,HYUNDAI,Ioniq Plug-in Hybrid,1.6,4,AutoMan-6,2WD,Gasoline/Electricity,midsize car,53/123,52/114,52/119,10
192,Asian,HYUNDAI,Kona,1.6,4,AutoMan-7,2WD,Gasoline,small SUV,28,32,30,7
193,Asian,HYUNDAI,Kona,1.6,4,AutoMan-7,2WD,Gasoline,small SUV,28,32,30,7
194,Asian,HYUNDAI,Kona,2,4,SemiAuto-6,2WD,Gasoline,small SUV,27,33,30,7
195,Asian,HYUNDAI,Kona,2,4,SemiAuto-6,2WD,Gasoline,small SUV,27,33,30,7
196,Asian,HYUNDAI,Sonata,1.6,4,AutoMan-7,2WD,Gasoline,large car,28,37,31,7
197,Asian,HYUNDAI,Sonata,1.6,4,AutoMan-7,2WD,Gasoline,large car,28,37,31,7
198,Asian,HYUNDAI,Sonata Hybrid,2,4,AutoMan-6,2WD,Gasoline,midsize car,39,44,41,9
199,Asian,HYUNDAI,Sonata Hybrid,2,4,AutoMan-6,2WD,Gasoline,midsize car,39,44,41,9
200,Asian,HYUNDAI,Sonata Hybrid SE,2,4,AutoMan-6,2WD,Gasoline,midsize car,40,46,42,9
201,Asian,HYUNDAI,Sonata Hybrid SE,2,4,AutoMan-6,2WD,Gasoline,midsize car,40,46,42,9
202,Asian,HYUNDAI,Sonata plug-in hybrid,2,4,AutoMan-6,2WD,Gasoline/Electricity,midsize car,37/99,42/100,39/99,10
203,Asian,HYUNDAI,Sonata plug-in hybrid,2,4,AutoMan-6,2WD,Gasoline/Electricity,midsize car,37/99,42/100,39/99,10
204,Asian,INFINITI,Q70 Hybrid,3.5,6,SemiAuto-7,2WD,Gasoline,midsize car,28,33,30,7
205,Asian,INFINITI,Q70 Hybrid,3.5,6,SemiAuto-7,2WD,Gasoline,midsize car,28,33,30,7
206,Asian,KIA,Forte,2,4,SemiAuto-6,2WD,Gasoline,midsize car,29,37,32,7
207,Asian,KIA,Forte,2,4,SemiAuto-6,2WD,Gasoline,midsize car,29,37,32,7
208,Asian,KIA,Forte,2,4,SemiAuto-6,2WD,Gasoline,midsize car,29,37,32,7
209,Asian,KIA,Forte,2,4,SemiAuto-6,2WD,Gasoline,midsize car,29,37,32,7
210,Asian,KIA,Niro,1.6,4,AutoMan-6,2WD,Gasoline,station wagon,51,46,49,10
211,Asian,KIA,Niro,1.6,4,AutoMan-6,2WD,Gasoline,station wagon,51,46,49,10
212,Asian,KIA,Niro FE,1.6,4,AutoMan-6,2WD,Gasoline,station wagon,52,49,50,10
213,Asian,KIA,Niro FE,1.6,4,AutoMan-6,2WD,Gasoline,station wagon,52,49,50,10
214,Asian,KIA,Niro Plug-in Hybrid,1.6,4,AutoMan-6,2WD,Gasoline/Electricity,station wagon,48/110,44/99,46/105,10
215,Asian,KIA,Niro Plug-in Hybrid,1.6,4,AutoMan-6,2WD,Gasoline/Electricity,station wagon,48/110,44/99,46/105,10
216,Asian,KIA,Niro Touring,1.6,4,AutoMan-6,2WD,Gasoline,station wagon,46,40,43,9
217,Asian,KIA,Niro Touring,1.6,4,AutoMan-6,2WD,Gasoline,station wagon,46,40,43,9
218,Asian,KIA,Optima,1.6,4,AutoMan-7,2WD,Gasoline,large car,28,37,31,7
219,Asian,KIA,Optima,1.6,4,AutoMan-7,2WD,Gasoline,large car,28,37,31,7
220,Asian,KIA,Optima Hybrid,2,4,AutoMan-6,2WD,Gasoline,midsize car,39,46,42,9
221,Asian,KIA,Optima Hybrid,2,4,AutoMan-6,2WD,Gasoline,midsize car,39,46,42,9
222,Asian,KIA,Optima plug-in hybrid,2,4,AutoMan-6,2WD,Gasoline/Electricity,midsize car,38/103,43/104,40/103,10
223,Asian,KIA,Optima plug-in hybrid,2,4,AutoMan-6,2WD,Gasoline/Electricity,midsize car,38/103,43/104,40/103,10
224,Asian,KIA,Rio,1.6,4,Man-6,2WD,Gasoline,small car,29,37,32,7
225,Asian,KIA,Rio,1.6,4,Man-6,2WD,Gasoline,small car,29,37,32,7
226,Asian,KIA,Rio,1.6,4,SemiAuto-6,2WD,Gasoline,small car,28,37,32,7
227,Asian,KIA,Rio,1.6,4,SemiAuto-6,2WD,Gasoline,small car,28,37,32,7
228,Asian,KIA,Soul Electric,,,Auto-1,2WD,Electricity,station wagon,124,93,108,10
229,Asian,KIA,Soul Electric,,,Auto-1,2WD,Electricity,station wagon,124,93,108,10
230,,LEXUS,ES 300h,2.5,4,SCV-6,2WD,Gasoline,midsize car,40,39,40,9
231,,LEXUS,ES 300h,2.5,4,SCV-6,2WD,Gasoline,midsize car,40,39,40,9
232,,LEXUS,GS 450h,3.5,6,SCV-8,2WD,Gasoline,midsize car,29,34,31,7
233,,LEXUS,GS 450h,3.5,6,SCV-8,2WD,Gasoline,midsize car,29,34,31,7
234,,LEXUS,LC 500h,3.5,6,SCV-10,2WD,Gasoline,small car,26,35,30,7
235,,LEXUS,LC 500h,3.5,6,SCV-10,2WD,Gasoline,small car,26,35,30,7
236,,LEXUS,NX 300h,2.5,4,SCV-6,4WD,Gasoline,small SUV,33,30,31,7
237,,LEXUS,NX 300h,2.5,4,SCV-6,4WD,Gasoline,small SUV,33,30,31,7
238,,LEXUS,RX 450h,3.5,6,SCV-6,4WD,Gasoline,standard SUV,31,28,30,7
239,,LEXUS,RX 450h,3.5,6,SCV-6,4WD,Gasoline,standard SUV,31,28,30,7
240,,LINCOLN,MKZ Hybrid,2,4,CVT,2WD,Gasoline,midsize car,41,38,40,9
241,,LINCOLN,MKZ Hybrid,2,4,CVT,2WD,Gasoline,midsize car,41,38,40,9
242,,MAZDA,2,1.5,4,Man-6,2WD,Gasoline,small car,30,39,34,8
243,,MAZDA,2,1.5,4,Man-6,2WD,Gasoline,small car,30,39,34,8
244,,MAZDA,2,1.5,4,SemiAuto-6,2WD,Gasoline,small car,32,40,35,8
245,,MAZDA,2,1.5,4,SemiAuto-6,2WD,Gasoline,small car,32,40,35,8
246,,MAZDA,3,2,4,Man-6,2WD,Gasoline,midsize car,27,37,31,7
247,,MAZDA,3,2,4,Man-6,2WD,Gasoline,small car,28,38,31,7
248,,MAZDA,3,2,4,Man-6,2WD,Gasoline,midsize car,27,37,31,7
249,,MAZDA,3,2,4,Man-6,2WD,Gasoline,small car,28,38,31,7
250,,MAZDA,3,2,4,SemiAuto-6,2WD,Gasoline,midsize car,28,37,32,7
251,,MAZDA,3,2,4,SemiAuto-6,2WD,Gasoline,small car,28,37,31,7
252,,MAZDA,3,2,4,SemiAuto-6,2WD,Gasoline,midsize car,28,37,32,7
253,,MAZDA,3,2,4,SemiAuto-6,2WD,Gasoline,small car,28,37,31,7
254,,MAZDA,3,2.5,4,SemiAuto-6,2WD,Gasoline,midsize car,26,35,30,7
255,,MAZDA,3,2.5,4,SemiAuto-6,2WD,Gasoline,small car,27,36,30,7
256,,MAZDA,3,2.5,4,SemiAuto-6,2WD,Gasoline,midsize car,26,35,30,7
257,,MAZDA,3,2.5,4,SemiAuto-6,2WD,Gasoline,small car,27,36,30,7
258,,MAZDA,CX-3,2,4,SemiAuto-6,2WD,Gasoline,small car,29,34,31,7
259,,MAZDA,CX-3,2,4,SemiAuto-6,2WD,Gasoline,small car,29,34,31,7
260,European,MERCEDES-BENZ,C350e,2,4,Auto-7,2WD,Gasoline/Electricity,small car,28/45,32/61,30/51,9
261,European,MERCEDES-BENZ,C350e,2,4,Auto-7,2WD,Gasoline/Electricity,small car,28/45,32/61,30/51,9
262,European,MERCEDES-BENZ,GLC 350e 4Matic,2,4,Auto-7,4WD,Gasoline/Electricity,small SUV,24/55,27/57,25/56,9
