,Region,Make,Model,Displ,Cyl,Trans,Drive,Fuel,VehClass,CityMPG,HwyMPG,CmbMPG,GreenhouseGasScore
146,Asian,Honda,Fit,1.5,4.0,SCV-7,2WD,Gasoline,station wagon,31.0,36.0,33.0,8
148,Asian,Honda,HR-V,1.8,4.0,CVT,2WD,Gasoline,station wagon,28.0,34.0,30.0,7
150,Asian,Honda,HR-V,1.8,4.0,SCV-7,2WD,Gasoline,station wagon,28.0,34.0,30.0,7
152,Asian,Honda,Insight,1.5,4.0,CVT,2WD,Gasoline,midsize car,55.0,49.0,52.0,10
154,Asian,Honda,Insight Touring,1.5,4.0,CVT,2WD,Gasoline,midsize car,51.0,45.0,48.0,10
156,Asian,Hyundai,Accent,1.6,4.0,Man-6,2WD,Gasoline,small car,28.0,37.0,31.0,7
158,Asian,Hyundai,Accent,1.6,4.0,SemiAuto-6,2WD,Gasoline,small car,28.0,38.0,32.0,7
160,Asian,Hyundai,Elantra,1.4,4.0,AutoMan-7,2WD,Gasoline,midsize car,32.0,40.0,35.0,8
162,Asian,Hyundai,Elantra,2.0,4.0,SemiAuto-6,2WD,Gasoline,midsize car,28.0,37.0,32.0,7
166,Asian,Hyundai,Elantra SE,2.0,4.0,SemiAuto-6,2WD,Gasoline,midsize car,29.0,38.0,33.0,8
170,Asian,Hyundai,Ioniq,1.6,4.0,AutoMan-6,2WD,Gasoline,large car,55.0,54.0,55.0,10
172,Asian,Hyundai,Ioniq Blue,1.6,4.0,AutoMan-6,2WD,Gasoline,large car,57.0,59.0,58.0,10
176,Asian,Hyundai,Ioniq Plug-in Hybrid,1.6,4.0,AutoMan-6,2WD,Gasoline/Electricity,midsize car,53.0,52.0,52.0,10
178,Asian,Hyundai,Kona,1.6,4.0,AutoMan-7,2WD,Gasoline,small SUV,28.0,32.0,30.0,7
180,Asian,Hyundai,Kona,2.0,4.0,SemiAuto-6,2WD,Gasoline,small SUV,27.0,33.0,30.0,7
188,Asian,Hyundai,Sonata,1.6,4.0,AutoMan-7,2WD,Gasoline,large car,28.0,37.0,31.0,7
190,Asian,Hyundai,Sonata Hybrid,2.0,4.0,AutoMan-6,2WD,Gasoline,midsize car,39.0,44.0,41.0,9
192,Asian,Hyundai,Sonata Hybrid SE,2.0,4.0,AutoMan-6,2WD,Gasoline,midsize car,40.0,46.0,42.0,9
194,Asian,Hyundai,Sonata plug-in hybrid,2.0,4.0,AutoMan-6,2WD,Gasoline/Electricity,midsize car,37.0,42.0,39.0,10
196,Asian,Hyundai,Veloster,1.6,4.0,AutoMan-7,2WD,Gasoline,small car,28.0,34.0,30.0,7
198,Asian,Hyundai,Veloster,2.0,4.0,SemiAuto-6,2WD,Gasoline,small car,27.0,34.0,30.0,7
201,Asian,Kia,Forte,2.0,4.0,CVT,2WD,Gasoline,midsize car,30.0,40.0,34.0,8
205,Asian,Kia,Forte,2.0,4.0,Man-6,2WD,Gasoline,midsize car,27.0,37.0,31.0,7
207,Asian,Kia,Forte FE,2.0,4.0,CVT,2WD,Gasoline,midsize car,31.0,41.0,35.0,8
209,Asian,Kia,Niro,1.6,4.0,AutoMan-6,2WD,Gasoline,station wagon,51.0,46.0,49.0,10
213,Asian,Kia,Niro FE,1.6,4.0,AutoMan-6,2WD,Gasoline,station wagon,52.0,49.0,50.0,10
215,Asian,Kia,Niro Plug-in Hybrid,1.6,4.0,AutoMan-6,2WD,Gasoline/Electricity,station wagon,48.0,44.0,46.0,10
217,Asian,Kia,Niro Touring,1.6,4.0,AutoMan-6,2WD,Gasoline,station wagon,46.0,40.0,43.0,9
219,Asian,Kia,Optima,1.6,4.0,AutoMan-7,2WD,Gasoline,large car,27.0,37.0,31.0,7
221,Asian,Kia,Optima Hybrid,2.0,4.0,AutoMan-6,2WD,Gasoline,midsize car,39.0,45.0,41.0,9
223,Asian,Kia,Optima plug-in hybrid,2.0,4.0,AutoMan-6,2WD,Gasoline/Electricity,midsize car,38.0,43.0,40.0,10
225,Asian,Kia,Rio,1.6,4.0,Man-6,2WD,Gasoline,small car,29.0,37.0,32.0,7
227,Asian,Kia,Rio,1.6,4.0,SemiAuto-6,2WD,Gasoline,small car,28.0,37.0,32.0,7
231,Asian,Lexus,ES 300h,2.5,4.0,SCV-6,2WD,Gasoline,midsize car,43.0,45.0,44.0,10
233,Asian,Lexus,LC 500h,3.5,6.0,SCV-10,2WD,Gasoline,small car,27.0,35.0,30.0,7
235,Asian,Lexus,NX 300h,2.5,4.0,SCV-6,4WD,Gasoline,small SUV,33.0,30.0,31.0,7
237,Asian,Lexus,RX 450h,3.5,6.0,SCV-6,4WD,Gasoline,standard SUV,31.0,28.0,30.0,7
239,Asian,Lexus,UX 200,2.0,4.0,SCV-10,2WD,Gasoline,midsize car,29.0,37.0,33.0,8
241,Asian,Lexus,UX 250h,2.0,4.0,SCV-6,2WD,Gasoline,small car,43.0,41.0,42.0,9
243,Asian,Lexus,UX 250h,2.0,4.0,SCV-6,4WD,Gasoline,small car,41.0,38.0,39.0,9
245,American,Lincoln,MKZ Hybrid,2.0,4.0,CVT,2WD,Gasoline,midsize car,42.0,39.0,41.0,9
247,Asian,Mazda,2,1.5,4.0,Man-6,2WD,Gasoline,small car,30.0,39.0,34.0,8
249,Asian,Mazda,2,1.5,4.0,SemiAuto-6,2WD,Gasoline,small car,32.0,40.0,35.0,8
251,Asian,Mazda,CX-3,2.0,4.0,SemiAuto-6,2WD,Gasoline,small car,29.0,34.0,31.0,7
253,Asian,Mazda,MX-5,2.0,4.0,SemiAuto-6,2WD,Gasoline,small car,26.0,35.0,30.0,7
255,Asian,Mazda,Mazda3,2.5,4.0,SemiAuto-6,2WD,Gasoline,midsize car,26.0,35.0,30.0,7
257,Asian,Mazda,Mazda3,2.5,4.0,SemiAuto-6,2WD,Gasoline,small car,26.0,35.0,30.0,7
258,Asian,Mazda,Mazda3,2.5,4.0,SemiAuto-6,2WD,Gasoline,small car,27.0,36.0,30.0,7
261,European,Mercedes-Benz,GLC 350e 4Matic,2.0,4.0,Auto-7,4WD,Gasoline/Electricity,small SUV,24.0,27.0,25.0,9
263,European,Mini,Cooper Convertible,1.5,3.0,Man-6,2WD,Gasoline,small car,28.0,37.0,31.0,7
265,European,Mini,Cooper Convertible,1.5,3.0,SemiAuto-6,2WD,Gasoline,small car,27.0,35.0,30.0,7
267,European,Mini,Cooper Hardtop,1.5,3.0,Man-6,2WD,Gasoline,small car,28.0,37.0,31.0,7
268,European,Mini,Cooper Hardtop,1.5,3.0,Man-6,2WD,Gasoline,small car,28.0,38.0,32.0,7
271,European,Mini,Cooper Hardtop,1.5,3.0,SemiAuto-6,2WD,Gasoline,small car,27.0,35.0,30.0,7
273,European,Mini,Cooper SE Countryman All4,1.5,3.0,SemiAuto-6,4WD,Gasoline/Electricity,midsize car,28.0,27.0,27.0,9
275,Asian,Mitsubishi,Mirage,1.2,3.0,CVT,2WD,Gasoline,small car,36.0,43.0,39.0,9
277,Asian,Mitsubishi,Mirage,1.2,3.0,Man-5,2WD,Gasoline,small car,33.0,41.0,36.0,8
279,Asian,Mitsubishi,Mirage G4,1.2,3.0,CVT,2WD,Gasoline,small car,35.0,41.0,37.0,8
281,Asian,Mitsubishi,Mirage G4,1.2,3.0,Man-5,2WD,Gasoline,small car,33.0,40.0,35.0,8
283,Asian,Mitsubishi,Outlander PHEV,2.0,4.0,Auto-1,4WD,Gasoline/Electricity,small SUV,25.0,26.0,25.0,10
285,Asian,Nissan,Altima,2.5,4.0,CVT,2WD,Gasoline,midsize car,28.0,39.0,32.0,7
287,Asian,Nissan,Altima,2.5,4.0,CVT,4WD,Gasoline,midsize car,26.0,36.0,30.0,7
289,Asian,Nissan,Altima SR/Platinum,2.5,4.0,CVT,2WD,Gasoline,midsize car,27.0,37.0,31.0,7
291,Asian,Nissan,Kicks,1.6,4.0,CVT,2WD,Gasoline,midsize car,31.0,36.0,33.0,8
299,Asian,Nissan,Rogue Hybrid,2.0,4.0,SCV-7,2WD,Gasoline,small SUV,33.0,35.0,34.0,8
301,Asian,Nissan,Rogue Hybrid,2.0,4.0,SCV-7,4WD,Gasoline,small SUV,31.0,34.0,33.0,8
303,Asian,Nissan,Sentra,1.8,4.0,CVT,2WD,Gasoline,midsize car,29.0,37.0,32.0,7
305,Asian,Nissan,Versa,1.6,4.0,CVT,2WD,Gasoline,small car,31.0,39.0,34.0,8
309,Asian,Nissan,Versa,1.6,4.0,Man-5,2WD,Gasoline,small car,27.0,36.0,30.0,7
311,European,Porsche,Cayenne e-Hybrid,3.0,6.0,SemiAuto-8,4WD,Gasoline/Electricity,standard SUV,21.0,23.0,22.0,8
313,European,Porsche,Panamera 4 e-Hybrid,2.9,6.0,AMS-8,4WD,Gasoline/Electricity,large car,21.0,24.0,23.0,8
315,European,Porsche,Panamera 4 e-Hybrid Executive,2.9,6.0,AMS-8,4WD,Gasoline/Electricity,large car,21.0,24.0,23.0,8
317,European,Porsche,Panamera 4 e-Hybrid ST,2.9,6.0,AMS-8,4WD,Gasoline/Electricity,large car,21.0,24.0,23.0,8
319,European,Porsche,Panamera Turbo S e-Hybrid,4.0,8.0,AMS-8,4WD,Gasoline/Electricity,large car,19.0,22.0,20.0,7
321,European,Porsche,Panamera Turbo S e-Hybrid Exec,4.0,8.0,AMS-8,4WD,Gasoline/Electricity,large car,19.0,22.0,20.0,7
323,European,Porsche,Panamera Turbo S e-Hybrid ST,4.0,8.0,AMS-8,4WD,Gasoline/Electricity,large car,19.0,22.0,20.0,7
329,Asian,Subaru,Crosstrek Hybrid,2.0,4.0,CVT,4WD,Gasoline/Electricity,small SUV,36.0,35.0,35.0,10
